dataset,sequence,method,method_id,cache_policy,cache_window_size,num_frames,valid_pixels,abs_rel,sq_rel,rmse,log_rmse,delta_1,delta_2,delta_3,inference_sec,fps_inference,peak_allocated_mib,peak_reserved_mib
kitti,2011_09_30_drive_0016_sync_02,K4,k4,anchor_recent_dino_diverse_k4,4,110,10194423,0.13641519224535184,0.533917221089417,3.785655167095188,0.1680914867932238,0.8216588497161865,0.9931601881980896,0.9993592500686646,12.01872154100056,9.152387766431477,8187.26416015625,10446.0
kitti,2011_09_30_drive_0016_sync_02,K6,k6,anchor_recent_dino_diverse_k6,6,110,10194423,0.1612766087188476,0.8088659280848777,4.518435382729275,0.2004908911977132,0.7667068243026733,0.9573310613632202,0.9992420077323914,12.095143304002704,9.094559463681358,8332.841796875,10444.0
kitti,2011_09_30_drive_0016_sync_02,K8,k8,anchor_recent_dino_diverse_k8,8,110,10194423,0.2290904300680965,1.6259486259400606,6.23425855266498,0.2708232260373066,0.6354159116744995,0.8769983053207397,0.9912121295928955,12.455595511997672,8.831372204889288,8485.193359375,10410.0
kitti,2011_10_03_drive_0047_sync_02,Full cache,full_cache,full_cache,,110,9053175,0.13602139556998316,0.5356652883865727,4.063113720153929,0.17275200269661733,0.8279010653495789,0.9895951747894287,0.9940876960754395,19.006336340000416,5.787543587161291,12725.68212890625,25358.0
kitti,2011_10_03_drive_0047_sync_02,K4,k4,anchor_recent_dino_diverse_k4,4,110,9053175,0.13848425035768283,0.5254879707085713,3.9363967053304534,0.17190686201341107,0.8254509568214417,0.9906052947044373,0.9952370524406433,12.102383089997602,9.089118992681119,8187.26416015625,10446.0
kitti,2011_10_03_drive_0047_sync_02,K6,k6,anchor_recent_dino_diverse_k6,6,110,9053175,0.17396427750540547,0.7319741161849523,4.458203947416166,0.21140243699880368,0.6832290291786194,0.986151397228241,0.9948746562004089,12.23498190400278,8.990614033030369,8332.841796875,10444.0
kitti,2011_10_03_drive_0047_sync_02,K8,k8,anchor_recent_dino_diverse_k8,8,110,9053175,0.20344539895002065,0.9562422952186304,4.928029761721284,0.24669880471720465,0.5787232518196106,0.9679502844810486,0.9947436451911926,12.372230004002631,8.890879006000786,8485.193359375,10410.0
sintel,alley_1,Full cache,full_cache,full_cache,,50,22323200,0.29229238629341125,0.5749951601028442,3.829543352127075,0.40531933307647705,0.7245372533798218,0.7470126152038574,0.9164451956748962,7.530631151999842,6.639549725751998,10182.25830078125,15686.0
sintel,alley_1,K4,k4,anchor_recent_dino_diverse_k4,4,50,22323200,0.30932676792144775,0.6036166548728943,3.843535900115967,0.4167605936527252,0.7274094820022583,0.7472465634346008,0.8867131471633911,6.051407724000455,8.262540268389992,7694.2822265625,9788.0
sintel,alley_1,K6,k6,anchor_recent_dino_diverse_k6,6,50,22323200,0.3349842131137848,0.6532829999923706,3.8459362983703613,0.43317005038261414,0.7284374237060547,0.7466577887535095,0.864474356174469,5.979283492997638,8.362205949685308,7898.14892578125,9788.0
