dataset,method,metric,n_sequences,mean,median,std,ci95_low,ci95_high,aggregation
sintel,K6,delta_2,23,0.7876418006160985,0.8618924617767334,0.24029799096520565,0.6897680818224731,0.8788435561177523,unweighted_sequence_mean
sintel,K6,delta_3,23,0.8707338519718336,0.9371182322502136,0.1902347244691568,0.7853985917956933,0.9369519348377767,unweighted_sequence_mean
sintel,K6,inference_sec,23,5.425445621608283,5.841850124001212,1.0755084804513102,4.953672150020153,5.811799161175749,unweighted_sequence_mean
sintel,K6,fps_inference,23,8.53425663362949,8.555393454138107,0.12369473181558592,8.483556118547552,8.582942103154855,unweighted_sequence_mean
sintel,K6,peak_allocated_mb,23,8200.768278702446,8266.3203125,115.63802994539714,8151.517580778703,8242.268479853092,unweighted_sequence_mean
sintel,K6,peak_reserved_mb,23,9860.695652173914,9864.0,15.847095468337681,9854.08695652174,9864.0,unweighted_sequence_mean
sintel,K8,abs_rel,23,0.4273452820337337,0.27549853920936584,0.6314022135470687,0.23533267356131388,0.7247381370433646,unweighted_sequence_mean
sintel,K8,sq_rel,23,1.8089457184744433,0.6565247178077698,2.6314623683293785,0.8541200045946702,2.936318430642384,unweighted_sequence_mean
sintel,K8,rmse,23,4.399138946734045,3.652149200439453,4.729011028065781,2.584878207479968,6.362043267699039,unweighted_sequence_mean
sintel,K8,log_rmse,23,0.4177987157650616,0.34570181369781494,0.33407106799367015,0.2983102681439208,0.564493465885196,unweighted_sequence_mean
sintel,K8,delta_1,23,0.613102332405422,0.6478487253189087,0.29389954060372053,0.49543805106178573,0.7275055727233056,unweighted_sequence_mean
sintel,K8,delta_2,23,0.7864720432654672,0.8934970498085022,0.24042576310633182,0.6844895797255247,0.8766503618787165,unweighted_sequence_mean
sintel,K8,delta_3,23,0.8697626934103344,0.9405864477157593,0.19103669705083798,0.7844912261580644,0.9361559536631988,unweighted_sequence_mean
sintel,K8,inference_sec,23,5.609936771173955,6.0275177670009725,1.126261951214737,5.122248039205628,6.0036074686183305,unweighted_sequence_mean
sintel,K8,fps_inference,23,8.259212199533483,8.295288696407741,0.130482608773801,8.205613661834688,8.309619842330921,unweighted_sequence_mean
sintel,K8,peak_allocated_mb,23,8393.518873131794,8455.09716796875,105.16573553608428,8347.985632324218,8431.620647397249,unweighted_sequence_mean
sintel,K8,peak_reserved_mb,23,9862.695652173914,9866.0,15.847095468337681,9856.08695652174,9866.0,unweighted_sequence_mean
