dataset,sequence,method,method_id,cache_policy,cache_window_size,status,num_frames,ate,rpe_trans,rpe_rot_deg,align_scale,inference_sec,fps_inference,peak_allocated_mib,peak_reserved_mib
sintel,market_5,K6,k6,anchor_recent_dino_diverse_k6,6,ok,50,2.245484385159702,0.16546699668431575,1.2503415648561398,0.8278929051628536,3.636417298926972,13.749797091426752,7784.64892578125,8172.0
sintel,market_5,K8,k8,anchor_recent_dino_diverse_k8,8,ok,50,2.20858448077503,0.18139682414997785,1.1784517967150712,1.601373872546417,3.2991517239715904,15.155410900535642,7998.97900390625,8476.0
sintel,market_6,Full cache,full_cache,full_cache,,ok,40,0.08291123488589958,0.05603879548987013,0.3046419450586505,6.226972385624295,3.283998508937657,12.18027349620802,9397.52978515625,11448.0
sintel,market_6,K4,k4,anchor_recent_dino_diverse_k4,4,ok,40,0.1475387908558277,0.09511074058364542,0.7032028857165266,5.830815681199377,2.5196875480469316,15.874984194371612,7528.361328125,7946.0
sintel,market_6,K6,k6,anchor_recent_dino_diverse_k6,6,ok,40,0.18723069197513345,0.09664441777689074,0.6164455050523197,5.972914042417268,2.6009853970026597,15.37878684213124,7742.57373046875,8138.0
sintel,market_6,K8,k8,anchor_recent_dino_diverse_k8,8,ok,40,0.17154447224540578,0.07291702521073257,0.5185202498969502,6.144337059401212,2.6704078449402004,14.97898535453701,7954.01904296875,8388.0
sintel,shaman_3,Full cache,full_cache,full_cache,,ok,50,0.007752944016052464,0.003114067270297548,0.14367795775076472,0.6755505380956622,5.2430052569834515,9.536515328380075,10055.974609375,12724.0
sintel,shaman_3,K4,k4,anchor_recent_dino_diverse_k4,4,ok,50,0.00539908403349992,0.0032979645424385776,0.20593900132649534,0.5198200396483698,3.181166731985286,15.717503737629075,7572.52587890625,8004.0
sintel,shaman_3,K6,k6,anchor_recent_dino_diverse_k6,6,ok,50,0.006180832927327744,0.0030077424751658644,0.17244179500436513,0.50510960763404,3.1801283209351823,15.72263599265594,7784.64892578125,8172.0
sintel,shaman_3,K8,k8,anchor_recent_dino_diverse_k8,8,ok,50,0.008648219390055823,0.0031066684768844216,0.1684653018986729,0.4934414373760773,3.3408458759076893,14.96626957878303,7998.97900390625,8476.0
sintel,sleeping_1,Full cache,full_cache,full_cache,,ok,50,0.03465660470409793,0.014174818195200112,0.2445193810851087,1.4916585001952574,4.588017386035062,10.897953471621367,10055.974609375,12724.0
sintel,sleeping_1,K4,k4,anchor_recent_dino_diverse_k4,4,ok,50,0.01756353731609749,0.013396467710693995,0.282550068987141,1.4411222156971029,3.23839626298286,15.439741137159482,7572.52587890625,8004.0
sintel,sleeping_1,K6,k6,anchor_recent_dino_diverse_k6,6,ok,50,0.024017451618752628,0.01241662185943777,0.2621345905689826,1.381097769952157,3.3690641309367493,14.840916663138074,7784.64892578125,8172.0
sintel,sleeping_1,K8,k8,anchor_recent_dino_diverse_k8,8,ok,50,0.028175725954287054,0.01226611334694421,0.25490588587332724,1.3982005264918649,3.252756107132882,15.371579778255228,7998.97900390625,8476.0
sintel,sleeping_2,Full cache,full_cache,full_cache,,ok,50,0.010097926590935433,0.005921272932634566,0.10298036555176132,2.655318606699503,5.288205883931369,9.455002527781483,10055.974609375,12724.0
sintel,sleeping_2,K4,k4,anchor_recent_dino_diverse_k4,4,ok,50,0.01808852825073191,0.009226881774284407,0.13899755697584387,2.7702604591190183,3.622004334931262,13.804511363443439,7572.52587890625,8004.0
sintel,sleeping_2,K6,k6,anchor_recent_dino_diverse_k6,6,ok,50,0.01792134747499939,0.00878426495967064,0.12975283702363788,2.759680843495965,3.1928168279118836,15.660152991833304,7784.64892578125,8172.0
sintel,sleeping_2,K8,k8,anchor_recent_dino_diverse_k8,8,ok,50,0.01642720765875455,0.006982274710912738,0.12203849818789134,2.573188326427262,3.3331685580778867,15.000741525305017,7998.97900390625,8476.0
sintel,temple_2,Full cache,full_cache,full_cache,,ok,50,0.22748697765679335,0.08127982415582848,0.2238922469636293,18.137609357656412,4.545272279996425,11.00044110009606,10055.974609375,12724.0
sintel,temple_2,K4,k4,anchor_recent_dino_diverse_k4,4,ok,50,0.2725276695356398,0.17283282921331902,0.44978385217035255,19.130618593249313,3.166867648018524,15.788471624724979,7572.52587890625,8004.0
sintel,temple_2,K6,k6,anchor_recent_dino_diverse_k6,6,ok,50,0.3327468665621106,0.14648678824142697,0.2813926596975907,19.675645102457096,3.1394058549776673,15.926580477233545,7784.64892578125,8172.0
sintel,temple_2,K8,k8,anchor_recent_dino_diverse_k8,8,ok,50,0.48740341297920237,0.1381458722404599,0.2512765918005416,20.340446455418896,3.2659231529105455,15.309607011249083,7998.97900390625,8476.0
sintel,temple_3,Full cache,full_cache,full_cache,,ok,50,0.5698555756656661,0.36910359157634337,1.0763649551516918,12.862322908125753,5.086593466927297,9.829761376665301,10055.974609375,12724.0
sintel,temple_3,K4,k4,anchor_recent_dino_diverse_k4,4,ok,50,0.7815252714854218,0.15442552243670668,1.2278090647633997,11.174417942366908,3.1766851720167324,15.739677460154883,7572.52587890625,8004.0
sintel,temple_3,K6,k6,anchor_recent_dino_diverse_k6,6,ok,50,0.7685117322573073,0.12848035185891463,1.2147387393809355,8.476009012751478,3.1725791801000014,15.760047948881759,7784.64892578125,8172.0
sintel,temple_3,K8,k8,anchor_recent_dino_diverse_k8,8,ok,50,0.769549305206681,0.14831568807638046,1.0163548866975458,7.590756649232672,3.2359134210273623,15.45158769548464,7998.97900390625,8476.0
tum,rgbd_dataset_freiburg3_sitting_halfsphere,Full cache,full_cache,full_cache,,ok,90,0.023784530545811026,0.008856630712281623,0.33749081464083014,2.0468784107774405,21.31835694203619,4.221713720466667,17480.63818359375,43860.0
tum,rgbd_dataset_freiburg3_sitting_halfsphere,K4,k4,anchor_recent_dino_diverse_k4,4,ok,90,0.013024925727850451,0.011110736364092839,0.3549473935608232,2.2804796917082664,6.720215036068112,13.39242859297811,8625.76220703125,9464.0
