task,dataset,sequence,method,method_id,cache_policy,cache_window_size,status,error,num_frames,accuracy,accuracy_median,completeness,completeness_median,normal_consistency,normal_consistency_median,overall,pose_status,pose_error,ate,rpe_trans,rpe_rot_deg,icp_fitness,icp_rmse,inference_sec,fps_inference,final_frame_ms,peak_allocated_mib,peak_reserved_mib
static,7scenes,pumpkin/seq-01,K6,k6,anchor_recent_dino_diverse_k6,6,ok,,20,0.05862194407155607,0.02775961772163453,0.03939207640334241,0.020179302888759264,0.7810379434008266,0.8783857346610033,0.049007010237449244,ok,,0.12988061474349466,0.16675050384118983,2.680275874543514,0.8224692274386095,0.03921936159490256,1.6197586960624903,12.347518212816805,81.74079895019531,8649.32373046875,9630.0
static,7scenes,pumpkin/seq-01,K8,k8,anchor_recent_dino_diverse_k8,8,ok,,20,0.06416055037011681,0.03466038316937256,0.044374472964791724,0.02542615500239643,0.7809362138816649,0.8791489914373392,0.05426751166745426,ok,,0.13130522139870068,0.1739384568602436,2.664747010353872,0.794841343477454,0.040032832853441225,1.7315014170017093,11.55066914968644,89.18323516845703,9047.54443359375,10040.0
static,7scenes,pumpkin/seq-07,Full cache,full_cache,full_cache,,ok,,20,0.0268894610851237,0.01467340226448885,0.018393239016950554,0.011247896034714652,0.7797733510946596,0.8806534885103718,0.022641350051037127,ok,,0.08279804516947076,0.08370396545209043,3.0993543272097264,0.9750001963893536,0.030477042968482193,1.9258168970700353,10.385203302779345,132.57830810546875,9428.69287109375,10630.0
static,7scenes,pumpkin/seq-07,K4,k4,anchor_recent_dino_diverse_k4,4,ok,,20,0.029970719975121636,0.02072280559630158,0.021879608192180294,0.014910038492661065,0.7836363876394156,0.8831533095135529,0.025925164083650965,ok,,0.08528421093772103,0.08864150563659247,3.096634369311392,0.9743930727302721,0.03320726151043749,1.5746194149833173,12.701481900762602,78.78467559814453,8259.46044921875,9046.0
static,7scenes,pumpkin/seq-07,K6,k6,anchor_recent_dino_diverse_k6,6,ok,,20,0.03012161616237166,0.020490525466670167,0.02150187012053225,0.016182171419253353,0.7877300946668666,0.8857154590813388,0.025811743141451956,ok,,0.08159841254710659,0.08462728611240009,3.1194376337748695,0.9727074909632841,0.033152532712131456,1.6222131161484867,12.328836329153026,81.7807388305664,8649.32373046875,9630.0
static,7scenes,pumpkin/seq-07,K8,k8,anchor_recent_dino_diverse_k8,8,ok,,20,0.030855702373985,0.01915784128343494,0.020113931339157093,0.012508967454943322,0.7851669179682581,0.8866090855931814,0.025484816856571047,ok,,0.0787418311204644,0.08135406409334967,3.0985110231757163,0.9677932682218459,0.03374323669099788,1.7068554270081222,11.717454028931549,89.18937683105469,9047.54443359375,10040.0
static,7scenes,redkitchen/seq-03,Full cache,full_cache,full_cache,,ok,,20,0.05109929813035629,0.027937469653347678,0.03028226854861075,0.015263154934798311,0.7388838669058603,0.8611154835687542,0.04069078333948352,ok,,0.06837150997197321,0.056333736770198845,1.905546768601953,0.8715848066006177,0.0368204926020922,1.9199771201238036,10.416790799418674,134.15834045410156,9428.69287109375,10630.0
static,7scenes,redkitchen/seq-03,K4,k4,anchor_recent_dino_diverse_k4,4,ok,,20,0.057300740073354645,0.02894288029602836,0.029346151039423,0.019873640538987096,0.7376685969880181,0.8606394880472906,0.043323445556388826,ok,,0.3404840532324141,0.42022235585534473,6.916611010120787,0.8609335505652427,0.03755928227789995,1.545433291932568,12.941354443704233,76.69964599609375,8259.46044921875,9046.0
static,7scenes,redkitchen/seq-03,K6,k6,anchor_recent_dino_diverse_k6,6,ok,,20,0.06104599690556899,0.03177459774096941,0.030463872103293387,0.018705156113067976,0.7317335977748946,0.8558797754445673,0.04575493450443119,ok,,0.08107650564646571,0.06679251740740719,1.9568857941950908,0.8445068728706103,0.03801164650132971,1.6252161550801247,12.306055374531999,81.94969940185547,8649.32373046875,9630.0
static,7scenes,redkitchen/seq-03,K8,k8,anchor_recent_dino_diverse_k8,8,ok,,20,0.06631393515637597,0.037269035370123604,0.03360900270480726,0.017687153029769306,0.7296279471760616,0.8501083400622877,0.04996146893059161,ok,,0.08550500486863684,0.06767312055528406,1.9460009642418972,0.8358639424739482,0.04201863226653632,1.715584740974009,11.657832762399813,89.6688003540039,9047.54443359375,10040.0
